data_medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
06/05/00;null;null;null;null;null;null;null;null;null;null
07/05/00;null;null;null;null;null;null;49,2;36;6,3;null
08/05/00;0;888,1;13,5;28,2;22,1;16,5;60,3;33;7,1;2,1
09/05/00;0;888,1;13,3;28,7;22,1;16,6;58,8;37;7;1,2
10/05/00;0;889;14,4;28,9;22,4;17,7;62,1;35;6,3;2,1
11/05/00;0;888,5;13,5;27,3;21,3;16,6;62,4;35;7,3;2,7
12/05/00;0;888,3;13,2;26,5;20,1;15,2;65,4;42;7,3;3
13/05/00;0;888,8;12,3;24,7;18,9;13,7;67;43;7,8;3,1
14/05/00;0;888,7;10,5;25;18,7;13,7;61,5;34;8,8;3,1
15/05/00;0;887,3;10,3;26,3;19;11,8;59,6;28;7,8;1,9
16/05/00;0;886,4;10,5;26,7;19,8;13,8;57,2;29;6,4;1,7
17/05/00;0;887;10,8;27,1;20,1;14;57;32;8,7;1,6
18/05/00;0;886,7;13,6;26;19,9;15,8;68,3;48;5,9;2,1
19/05/00;0;887,6;12,1;26,4;null;13,8;68,6;43;5,9;1,7
20/05/00;null;null;null;null;null;null;null;null;null;null
21/05/00;null;null;null;null;null;null;null;null;null;null
22/05/00;null;null;null;null;null;null;null;45;7,6;null
23/05/00;null;891,5;13,6;25,8;20;14,8;68,2;40;8,4;3,1
24/05/00;0;890,9;11,6;24,5;19;14,7;64;36;8,6;3,5
25/05/00;0;889,6;9,8;24,9;17,8;11,8;62;31;9,1;2,9
26/05/00;0;889;9,2;26,4;19,3;12,2;55,5;29;7,5;1,7
